timestamp,open,high,low,close,volume
2023-09-08,438.3900,453.4500,436.7000,442.8000,15645168
2023-09-01,418.0400,445.5000,413.2700,439.8800,19637029
2023-08-25,402.2300,437.0200,399.5000,416.0300,26718316
2023-08-18,421.9900,429.1200,398.1500,404.5300,21644647
2023-08-11,436.4550,443.5700,421.3277,421.6600,21790658
2023-08-04,426.5100,445.2499,426.2700,431.6000,28936064
2023-07-28,425.0000,430.8799,411.8800,425.7800,32174058
2023-07-21,445.5700,485.0000,423.1900,427.5000,82424238
2023-07-14,438.5200,456.4800,431.0415,441.9100,27911288
2023-07-07,439.7600,450.9700,430.7200,438.1000,19718657
2023-06-30,422.4350,444.1200,411.5000,440.4900,30548134
2023-06-23,430.1800,440.0000,417.7300,424.0200,23079600
2023-06-16,418.8300,448.6500,416.5669,431.9600,38054991
2023-06-09,400.4700,425.9000,396.3400,420.0200,42535251
2023-06-02,397.4800,407.5200,385.7900,400.4700,30888898
2023-05-26,365.3600,383.7600,354.3100,378.8800,35869355
2023-05-19,340.6200,375.8700,329.6150,365.3600,39731578
2023-05-12,322.9900,348.1664,322.0300,339.8900,29439233
2023-05-05,329.4350,331.2300,315.6200,322.7600,22594447
2023-04-28,330.2000,334.6600,317.4400,329.9300,25473762
2023-04-21,338.0000,338.3900,316.1000,327.9800,62472785
2023-04-14,335.2700,347.1400,330.0400,338.6300,23425061
2023-04-06,341.8300,349.8000,332.6300,339.3300,16577809
2023-03-31,327.5500,345.8400,321.2800,345.4800,34144116
2023-03-24,299.7900,331.8300,293.5400,328.3900,44465176
2023-03-17,287.3400,316.6000,285.3301,303.5000,36295565
2023-03-10,317.0000,323.3000,289.0000,292.7600,26895964
2023-03-03,323.8700,330.0000,310.3800,315.1800,25604338
2023-02-24,342.8500,344.1253,314.3000,317.1500,30325906
2023-02-17,349.5000,363.7500,342.4400,347.9600,26239601
2023-02-10,363.6420,373.8300,347.1400,347.3600,31729685
2023-02-03,358.4400,379.4301,348.7100,365.9000,36052487
2023-01-27,341.7150,369.0200,340.6329,360.7700,50170680
2023-01-20,331.0800,344.0000,313.3900,342.5000,63499636
2023-01-13,316.8300,336.6500,311.0700,332.8200,48561657
2023-01-06,298.0600,316.7700,288.7000,315.5500,33397247
2022-12-30,293.1900,295.4999,273.4100,294.8800,28897886
2022-12-23,289.7300,300.6600,280.8100,294.9650,31565254
2022-12-16,320.0000,332.7236,286.5500,290.7100,60252934
2022-12-09,316.4600,329.0000,302.1000,320.0100,45009416
2022-12-02,284.0000,321.9900,275.9400,320.4100,53919511
2022-11-25,291.0000,292.4700,277.3400,285.5400,22656567
2022-11-18,290.0000,312.7100,287.0000,287.9800,58877214
2022-11-11,261.0600,290.6600,252.0900,290.1300,42118010
2022-11-04,295.1300,299.7000,255.3200,260.7900,42971221
2022-10-28,290.2300,305.6300,280.3600,295.7200,68749521
2022-10-21,234.4100,290.7500,234.4000,289.5700,135615969
2022-10-14,225.6400,238.8000,211.7300,230.0000,71024611
2022-10-07,237.8500,245.7999,224.2800,224.7500,52403998
2022-09-30,225.6000,246.9800,220.7200,235.4400,64419728
2022-09-23,245.0500,250.4900,221.4300,226.4100,64315283
2022-09-16,233.6100,242.2871,215.8000,240.1300,60646192
2022-09-09,225.5900,234.7799,214.6900,233.5700,29035978
2022-09-02,221.9300,233.8814,218.7400,226.1100,36910150
2022-08-26,232.5500,236.9500,223.1500,223.2800,28450070
2022-08-19,248.1100,251.9900,235.6800,241.1600,30076515
2022-08-12,227.4900,251.6200,224.6500,249.3000,41311956
2022-08-05,223.0950,232.0700,220.8800,226.7800,30969546
2022-07-29,221.3100,230.7500,211.6400,224.9000,48989839
2022-07-22,192.5000,229.3500,188.4000,220.4400,139657396
2022-07-15,184.7300,189.2200,169.7020,189.1100,50986705
2022-07-08,176.2800,190.2100,172.6801,186.9750,25262633
2022-07-01,191.7700,192.2000,170.3000,179.9500,34428916
2022-06-24,177.6000,191.1900,169.8000,190.8500,46150407
2022-06-17,177.0700,183.8450,164.2800,175.5100,54508449
2022-06-10,202.0900,207.3800,180.8500,182.9400,37478902
2022-06-03,196.1800,205.4700,190.8000,198.9800,36629507
2022-05-27,186.1500,195.2500,177.1700,195.1900,42466411
2022-05-20,193.3000,195.8900,175.7100,186.3500,56565237
2022-05-13,177.6550,187.7700,162.7100,187.6400,71379202
2022-05-06,191.7100,204.3800,175.8100,180.9700,69696339
2022-04-29,213.8100,216.6600,185.6000,190.3600,108269764
2022-04-22,340.0000,351.6800,210.0500,215.5200,249673263
2022-04-14,350.0000,359.4100,339.8600,341.1300,15176144
2022-04-08,373.5500,396.0200,353.6897,355.8800,24466149
2022-04-01,375.2300,396.5000,366.7300,373.4700,23006416
2022-03-25,378.0200,386.6600,366.4300,373.8500,20008039
2022-03-18,338.7200,381.8000,329.8200,380.6000,32421961
2022-03-11,360.4100,367.0200,340.0000,340.3200,28284916
2022-03-04,387.3300,397.7500,357.1700,361.7300,25088310
2022-02-25,388.9500,392.4200,354.7200,390.8000,23189624
2022-02-18,387.5900,409.3600,385.7000,391.2900,29346336
2022-02-11,410.1700,412.9800,387.6500,391.3100,38801483
2022-02-04,401.9700,458.4800,396.6391,410.1700,74656569
2022-01-28,383.9100,394.8000,351.4600,384.3600,96507931
2022-01-21,520.0800,526.6400,379.9900,397.5000,80562313
2022-01-14,538.4900,544.2700,511.8800,525.6900,23673472
2022-01-07,605.6100,609.9900,538.2175,541.0600,20705360
2021-12-31,615.0000,620.6100,602.0500,602.4400,8820573
2021-12-23,586.4300,616.8800,584.2600,614.0900,9634685
2021-12-17,612.0000,612.6400,581.7400,586.7300,15945570
2021-12-10,606.0100,632.4550,601.0000,611.6600,13546265
2021-12-03,663.2000,675.3800,594.0000,602.1300,20195715
2021-11-26,676.0200,679.4800,646.0500,665.6400,9826030
2021-11-19,681.2350,700.9894,671.4900,678.8000,12312248
2021-11-12,650.2900,683.3400,642.1100,682.6100,14666729
2021-11-05,689.0600,689.9700,645.0100,645.7200,19428032
2021-10-29,663.7400,690.9699,657.0700,690.3100,15699968
2021-10-22,632.1000,665.4600,617.1500,664.7800,37547301
2021-10-15,633.1950,639.4200,621.9900,628.2900,15303866
2021-10-08,613.3900,646.8400,594.6800,632.6600,25939638
2021-10-01,587.9500,619.0000,576.9300,613.1500,23863702
2021-09-24,586.7900,599.3200,568.0800,592.3900,14657363
2021-09-17,598.5700,598.5700,575.3700,589.3500,15252617
2021-09-10,594.6900,615.6000,593.6700,598.7200,18160460
2021-09-03,557.2500,598.7567,556.4500,590.5300,19361726
2021-08-27,545.9800,564.1700,543.7400,558.9200,11625250
2021-08-20,515.2400,551.3883,512.3000,546.8800,18198746
2021-08-13,521.1469,522.6699,507.2014,515.9200,8825162
2021-08-06,519.0000,526.8400,505.3700,520.5500,11191918
2021-07-30,514.3800,524.4700,509.0101,517.5700,11645526
2021-07-23,526.0500,536.6400,504.6600,515.4100,30871536
2021-07-16,540.3000,557.5399,527.0500,530.3100,18347840
2021-07-09,533.0000,544.6400,528.5800,535.9800,11543768
2021-07-02,528.1200,538.5351,524.5600,533.9800,12694037
2021-06-25,501.6400,533.0600,492.2800,527.0700,23691624
2021-06-18,489.6800,504.4900,486.2800,500.7700,19408766
2021-06-11,492.9169,498.8200,482.1400,488.7700,15727895
2021-06-04,504.0100,505.4100,487.2500,494.7400,11799466
2021-05-28,501.0500,511.7600,498.5400,502.8100,13742427
2021-05-21,485.5900,505.4000,478.5400,497.8900,15449818
2021-05-14,502.0000,503.1500,478.6300,493.3700,19253197
2021-05-07,512.6500,518.9500,491.3700,503.8400,18487247
2021-04-30,506.7600,514.5500,499.0000,513.4700,20884183
2021-04-23,546.9000,563.5600,500.5500,505.5500,54819530
2021-04-16,551.0500,559.7500,538.5300,546.5400,15752823
2021-04-09,540.0100,556.9000,529.2300,555.3100,16185291
2021-04-01,505.6600,540.5000,504.4000,539.4200,13189926
2021-03-26,509.1300,543.1200,496.6800,508.0500,21440820
2021-03-19,516.3200,533.4200,501.6300,512.1800,18024749
2021-03-12,514.4600,530.2350,492.8500,518.0200,19919496
2021-03-05,545.5734,556.9900,498.7901,516.3900,21551614
2021-02-26,534.9900,556.8499,518.2800,538.8500,18242047
2021-02-19,557.2860,563.6300,538.2265,540.2200,9981011
2021-02-12,555.0000,566.6500,543.0000,556.5200,15344803
2021-02-05,536.7900,559.4800,531.7300,550.7900,17977828
2021-01-29,567.0000,569.7500,515.7300,532.3900,31195695
2021-01-22,501.0000,593.2877,493.5427,565.1700,64344719
2021-01-15,507.8400,514.5000,485.6701,497.9800,24873693
2021-01-08,539.0000,540.8000,499.5000,510.4000,19584886
2020-12-31,516.4300,545.5000,507.1300,540.7300,14160700
2020-12-24,530.0500,532.6200,512.2104,513.9700,9339632
2020-12-18,505.4400,536.3700,501.1800,534.4500,20547094
2020-12-11,500.0100,521.4909,491.2900,503.2200,18926142
2020-12-04,490.0800,509.4700,481.2678,498.3100,17956541
2020-11-27,490.4600,493.2500,475.8400,491.3600,15283325
2020-11-20,480.0000,494.7600,477.3000,488.2400,17791459
2020-11-13,485.5400,496.5200,463.4100,482.8400,32264015
2020-11-06,478.8700,518.7337,475.0000,514.7300,22844866
2020-10-30,487.0250,513.8999,472.2100,475.7400,34740579
2020-10-23,537.0700,541.8000,481.3500,488.2800,46946173
2020-10-16,548.8100,572.4900,530.0300,530.7900,31964142
2020-10-09,506.8000,544.2800,501.6997,539.4400,26443533
2020-10-02,489.1094,529.5500,477.8800,503.0600,27175676
2020-09-25,467.6923,491.8200,466.3200,482.8800,20162923
2020-09-18,480.6200,504.6600,458.6000,469.9600,29194542
2020-09-11,498.4000,522.0000,476.8100,482.0300,23696192
2020-09-04,521.1600,557.3895,485.9800,516.0500,37751453
2020-08-28,495.4383,549.0400,483.1600,523.8900,44344014
2020-08-21,484.1900,498.9400,479.1000,492.3100,18125466
2020-08-14,493.3500,497.4584,466.5500,482.6800,23414074
2020-08-07,490.8600,510.8200,486.6800,494.7300,25433893
2020-07-31,484.5100,497.7927,477.5101,488.8800,32994444
2020-07-24,489.1400,506.2200,467.5400,480.4500,43354985
2020-07-17,567.9800,575.3700,484.1400,492.9900,93042272
2020-07-10,480.7700,555.8800,479.8000,548.7300,46647194
2020-07-02,445.2300,492.2800,432.1400,476.8900,25106026
2020-06-26,455.0100,474.0100,442.2400,443.4000,27985971
2020-06-19,421.4000,453.9700,415.4238,453.7200,26726361
2020-06-12,416.0000,445.5700,406.5000,418.0700,31469340
2020-06-05,418.8300,428.7100,404.2500,419.6000,22069508
2020-05-29,427.7700,428.5000,397.8600,419.7300,29258098
2020-05-22,451.1600,458.9700,427.1800,429.3200,32696537
2020-05-15,436.3300,455.0000,427.2700,454.1900,33350276
2020-05-08,417.7800,442.0000,414.8700,435.5500,31450677
2020-05-01,425.0000,429.0000,393.6000,415.2700,42325683
2020-04-24,435.1700,447.0000,413.0000,424.9900,79579833
2020-04-17,371.3100,449.5200,367.7003,422.9600,65580051
2020-04-09,365.2200,381.3300,361.7100,370.7200,29850534
2020-04-03,363.0000,383.0100,357.5100,361.7600,34114127
2020-03-27,347.8900,372.9300,339.1700,357.1200,49039023
2020-03-20,306.6300,350.4900,290.2500,332.8300,54604564
2020-03-13,343.8600,364.5400,307.3200,336.2950,42598472
2020-03-06,373.1100,393.5200,356.8500,368.9700,37744004
2020-02-28,364.7600,391.5624,356.8000,369.0300,44525058
2020-02-21,379.3000,392.9500,376.6800,380.0700,18091811
2020-02-14,365.0000,385.3700,362.5200,380.4000,22913429
2020-02-07,347.2400,375.2500,346.2800,366.7700,28579017
2020-01-31,345.9500,352.4000,338.5500,345.0900,32738383
2020-01-24,340.0000,359.8500,323.6000,353.1600,70575221
2020-01-17,331.8000,345.3800,331.5100,339.6700,29658687
2020-01-10,323.1200,343.4196,321.2000,329.0500,26958122
2020-01-03,329.0800,329.9800,321.0900,325.9000,16174063
2019-12-27,337.7600,337.9500,326.0100,329.0900,16420269
2019-12-20,300.8500,338.0000,298.6300,336.9000,46064645
2019-12-13,307.3500,311.4900,292.0200,298.5000,30508873
2019-12-06,314.3900,314.3900,298.8100,307.3500,24087684
2019-11-29,308.8300,316.8200,305.2500,314.6600,19720015
2019-11-22,296.0000,312.6900,293.2800,310.4800,33115251
2019-11-15,289.1600,296.3600,281.1400,295.0300,31831334
2019-11-08,288.0000,298.1900,285.8400,291.5700,23504899
2019-11-01,278.0500,293.4900,277.3500,286.8100,30558313
2019-10-25,272.8900,279.9399,265.8000,276.8200,41278058
2019-10-18,283.9300,308.7500,273.3600,275.3000,93359427
2019-10-11,271.9900,287.8700,264.5700,282.9300,39721060
2019-10-04,264.0000,275.4846,257.0100,272.7900,42444267
2019-09-27,268.3450,273.3900,252.2800,263.0800,56914199
2019-09-20,294.2300,299.1500,266.0000,270.7500,50465997
2019-09-13,294.8100,301.5500,282.6629,294.1500,39552992
2019-09-06,290.8200,293.9700,282.7850,290.1700,22476754
2019-08-30,295.2400,299.9300,287.1968,293.7500,23741426
2019-08-23,306.2500,311.7500,290.3200,291.4400,29301872
2019-08-16,305.4600,316.4300,288.0000,302.8000,36000377
2019-08-09,310.9600,316.6400,296.8126,308.9300,35448932
2019-08-02,335.9800,336.4000,311.8000,318.8300,30915130
2019-07-26,312.0000,336.0000,305.8100,335.7800,60504211
2019-07-19,372.9400,373.6800,314.2300,315.1000,75055819
2019-07-12,378.1900,384.7600,372.7917,373.2500,26898238
2019-07-05,373.5000,381.9900,370.3100,380.5500,16161651
2019-06-28,370.2700,375.0000,358.2900,367.3200,22981581
2019-06-21,342.6900,371.4500,342.0600,369.2100,29801740
2019-06-14,363.6500,367.1000,336.1550,339.7300,29020035
2019-06-07,343.5600,365.1500,332.6500,360.8700,29248578
2019-05-31,354.3900,361.2000,342.9200,343.2800,19407548
2019-05-24,351.2300,370.4600,345.4000,354.3900,24338679
2019-05-17,352.2900,364.0000,341.3900,354.4500,30886755
2019-05-10,377.6900,381.3500,352.7500,361.0400,30879720
